author,title,publisher,year,ISBN
Eva Ibbotson,STAR OF KAZAN,Pan Macmillan,2014,9781447265726
Sally Reid,FANTASTIC MR FOX,Penguin Books,2017,9780141374284
Eva Ibbotson,THE STAR OF KAZAN,Macmillan Audio Books,2005,9781405051521
Eva Ibbotson,THE STAR OF KAZAN,Macmillan Audio Books,2004,9781405046336
Roald Dahl,FANTASTIC MR FOX,Puffin,2016,9780141376967
,,,,9780393884852
Bruce Alberts,,,,9780815344643
